CustomerId,Surname,Geography,Gender,Age,Balance,NumOfProducts,IsActiveMember,Exited,Churn_Probability,Risk_Tier,Top_Reasons
15570002,Burlingame,Germany,Female,55,118772.71,4,0,1,0.984265706691508,High,NumOfProducts (+0.185); Age (+0.171); Geography_Germany (+0.042)
15640846,Chibueze,Germany,Female,58,106458.31,4,0,1,0.9786231920598779,High,NumOfProducts (+0.187); Age (+0.162); IsActiveMember (+0.045)
15662291,Davidson,France,Female,55,116973.26,3,0,1,0.9783359888660026,High,NumOfProducts (+0.224); Age (+0.178); IsActiveMember (+0.050)
15752342,Bradley,Germany,Female,54,133656.91,3,0,1,0.9770394163700241,High,NumOfProducts (+0.191); Age (+0.168); IsActiveMember (+0.040)
15710087,Nicholls,Germany,Female,54,125889.3,3,0,1,0.9754239238104034,High,NumOfProducts (+0.188); Age (+0.165); Geography_Germany (+0.042)
15692416,Aikenhead,Spain,Female,52,143542.36,3,0,1,0.9739782910536288,High,NumOfProducts (+0.215); Age (+0.159); IsActiveMember (+0.046)
15641175,Munro,Germany,Male,63,120916.52,3,0,1,0.9707971598097078,High,NumOfProducts (+0.198); Age (+0.160); IsActiveMember (+0.058)
15601594,Ifeanacho,France,Female,51,144237.91,4,0,1,0.9678812453090726,High,NumOfProducts (+0.241); Age (+0.162); IsActiveMember (+0.044)
15592773,Eberegbulam,Germany,Female,51,108449.23,3,0,1,0.9678060413356288,High,NumOfProducts (+0.182); Age (+0.165); Geography_Germany (+0.047)
15783019,Price,France,Female,62,123681.32,3,0,1,0.9655594250403459,High,NumOfProducts (+0.228); Age (+0.159); IsActiveMember (+0.069)
15704442,Fleming,France,Female,53,169406.33,4,1,1,0.9621885180273462,High,NumOfProducts (+0.311); Age (+0.150); Gender_Male (+0.033)
15677336,Aitken,Germany,Male,57,120043.13,1,0,1,0.9612331574713958,High,Age (+0.249); Geography_Germany (+0.080); IsActiveMember (+0.073)
15686835,Crawford,Germany,Female,57,148384.64,1,0,1,0.9580384619161315,High,Age (+0.254); IsActiveMember (+0.068); Geography_Germany (+0.062)
15748660,Ellis,Germany,Female,49,102025.32,1,0,1,0.9580010530387119,High,Age (+0.216); Geography_Germany (+0.088); IsActiveMember (+0.058)
15701602,Ayers,Germany,Male,52,116497.31,3,0,1,0.9569726457810799,High,NumOfProducts (+0.185); Age (+0.170); Geography_Germany (+0.050)
15597914,Evdokimov,Germany,Female,51,117306.69,4,1,1,0.9564284486429937,High,NumOfProducts (+0.238); Age (+0.150); Geography_Germany (+0.060)
15571869,Lei,Germany,Female,50,112650.89,1,0,1,0.956277414103624,High,Age (+0.218); Geography_Germany (+0.087); IsActiveMember (+0.058)
15734762,Ignatiev,France,Female,56,115895.22,3,0,1,0.9562537049455371,High,NumOfProducts (+0.228); Age (+0.182); IsActiveMember (+0.048)
15795759,Bergamaschi,Germany,Female,52,107906.75,1,0,1,0.955924639693281,High,Age (+0.236); Geography_Germany (+0.073); IsActiveMember (+0.068)
15659931,Ibezimako,Germany,Female,55,123378.2,1,0,1,0.955789478119729,High,Age (+0.233); Geography_Germany (+0.076); IsActiveMember (+0.065)
15808674,Ejikemeifeuwa,Germany,Female,45,128352.59,3,1,1,0.9551517159558334,High,NumOfProducts (+0.254); Age (+0.114); Geography_Germany (+0.056)
15592736,Lucchese,Germany,Male,54,102994.04,1,0,1,0.9550974326645494,High,Age (+0.252); Geography_Germany (+0.077); IsActiveMember (+0.074)
15623210,Smith,Germany,Female,55,149349.58,3,0,1,0.9547285343165708,High,NumOfProducts (+0.198); Age (+0.177); IsActiveMember (+0.040)
15808044,Ts'ui,France,Female,65,106804.26,3,0,1,0.9541613860096106,High,NumOfProducts (+0.237); Age (+0.126); IsActiveMember (+0.078)
15727619,Lock,Germany,Female,46,113909.69,3,0,1,0.9536958527359323,High,NumOfProducts (+0.201); Age (+0.121); Geography_Germany (+0.056)
15599329,Christopher,France,Female,49,195238.29,4,1,1,0.9535246095204833,High,NumOfProducts (+0.302); Age (+0.129); Balance (+0.032)
15647725,Napolitano,France,Female,61,62055.17,3,0,1,0.9524176475358955,High,NumOfProducts (+0.223); Age (+0.166); IsActiveMember (+0.064)
15813946,Duffy,Germany,Male,51,104682.83,1,0,1,0.951322810617026,High,Age (+0.234); Geography_Germany (+0.095); IsActiveMember (+0.064)
15596013,Akhtar,Germany,Female,58,143212.22,1,0,1,0.9513069484996052,High,Age (+0.235); IsActiveMember (+0.084); Geography_Germany (+0.067)
15768471,Wagner,Germany,Female,54,108755.0,1,0,1,0.9512067267776418,High,Age (+0.226); Geography_Germany (+0.078); IsActiveMember (+0.064)
15792064,Pai,Germany,Male,53,114421.55,1,0,1,0.9510286945127301,High,Age (+0.237); Geography_Germany (+0.082); IsActiveMember (+0.068)
15694376,Sullivan,Germany,Female,64,153469.26,3,0,1,0.9509990034503363,High,NumOfProducts (+0.208); Age (+0.144); IsActiveMember (+0.057)
15653776,Salier,Germany,Female,57,162082.31,4,0,1,0.9508146689473492,High,NumOfProducts (+0.201); Age (+0.178); IsActiveMember (+0.046)
15573628,Greene,Germany,Female,51,148074.79,1,0,1,0.9507559499612912,High,Age (+0.250); IsActiveMember (+0.067); Geography_Germany (+0.066)
15608338,Chiemenam,Spain,Female,55,117294.12,4,0,1,0.950568008088063,High,NumOfProducts (+0.236); Age (+0.181); IsActiveMember (+0.054)
15651533,Brown,Germany,Female,50,129293.74,1,0,1,0.9500817233115276,High,Age (+0.212); Geography_Germany (+0.085); IsActiveMember (+0.060)
15695339,Lucchesi,Germany,Male,53,109172.88,1,0,1,0.9500170264719482,High,Age (+0.231); Geography_Germany (+0.082); IsActiveMember (+0.065)
15634551,Williamson,Germany,Male,46,115248.11,4,0,1,0.9499304781133258,High,NumOfProducts (+0.209); Age (+0.124); Geography_Germany (+0.070)
15592816,Udokamma,Germany,Female,48,108076.33,1,0,1,0.9498034012731156,High,Age (+0.198); Geography_Germany (+0.100); NumOfProducts (+0.053)
15648681,Voronoff,France,Female,47,139914.6,4,1,1,0.9497284818452049,High,NumOfProducts (+0.335); Age (+0.137); Gender_Male (+0.030)
